id,name_ja,category,file,native_file,source,source_row,source_column,crop_xyxy,native_size,width_px,height_px,preview_grid_cells,original_footprint_known,anchor,alpha,resampling,scale_xy,style_group,connections_verified,seamless_verified,sha256,native_sha256
map_shrubs_flowers,低木・花,land,terrain/tiles_64/map_shrubs_flowers.png,terrain/source_crops/map_shrubs_flowers.png,01-1000263623.png,3,3,"[667, 486, 868, 673]","[201, 187]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.3422459893048128]",core,False,False,04b5b90f85dcfa9c4f0aa80d2208778f0ab69d3a90dcfd2d389c16138502001a,4f04b6e1b9c2c698dfcc2feb230c619d3f4e6abbfd048f00a63d0eeeaddf736a
map_shrubs_large,低木・大型,land,terrain/tiles_64/map_shrubs_large.png,terrain/source_crops/map_shrubs_large.png,01-1000263623.png,3,2,"[372, 486, 574, 673]","[202, 187]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31683168316831684, 0.3422459893048128]",core,False,False,30d079bb0f6e764519920326f0571b07d5072e81ef7c2b0b13fca352e7b756b7,6ec78beb583b0dc2df97b0b2fac92aece37b837067fca619bee0e2e21825905e
map_shrubs_sparse,低木・小型,land,terrain/tiles_64/map_shrubs_sparse.png,terrain/source_crops/map_shrubs_sparse.png,01-1000263623.png,3,1,"[80, 486, 281, 673]","[201, 187]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.3422459893048128]",core,False,False,53101b197435828946237856757d649cf26378b7094f3cf83812f696a4a88c89,21a2ebd84e3c94d6ad46877efa634f5b4d03dd58d6f2aaab3a3c5bde71469d5f
map_trees_clearing,樹木・空き地,land,terrain/tiles_64/map_trees_clearing.png,terrain/source_crops/map_trees_clearing.png,01-1000263623.png,4,2,"[372, 695, 574, 886]","[202, 191]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31683168316831684, 0.33507853403141363]",core,False,False,30a35bf43dcf2bf9ef13b30dda5e13b7e049b0a416bfd5ff31c2fbd9b98c713a,df48ac726572dd0e1ccb4f63163b4d87ac8adccfb78e68bfa4a2f1d807b12d21
map_trees_medium,樹木・中密度,land,terrain/tiles_64/map_trees_medium.png,terrain/source_crops/map_trees_medium.png,01-1000263623.png,4,4,"[962, 695, 1163, 886]","[201, 191]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.33507853403141363]",core,False,False,db7b81ec645227104b547780f765dc3e8bbd39a333d0f8ff8e6c2a4e23bceb45,9fa4fb79af36b3d7a759422532520e90296b1a8ad7f1882ee951db6fff9075a3
map_trees_sparse,樹木・疎林,land,terrain/tiles_64/map_trees_sparse.png,terrain/source_crops/map_trees_sparse.png,01-1000263623.png,4,1,"[80, 695, 281, 886]","[201, 191]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.33507853403141363]",core,False,False,fe415a5161e695551cdcf94d17be474414b8f8b001c43adcc9629ff6d67dd136,2fba46edd879506863bb0c2795f97e0693586d091770e5eb356c566ec6a2c605
map_concrete,コンクリート,material,terrain/tiles_64/map_concrete.png,terrain/source_crops/map_concrete.png,05-1000263627.png,10,4,"[355, 1353, 450, 1472]","[95, 119]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.6736842105263158, 0.5378151260504201]",supplement,False,False,54cffd0028067506ec6e8e433fd4f23e56b878f8b751fde280fd1bc4df2461df,df52f90037814cfad52b11df3e1b716c2007caa6f33a9a37d137a8a28c26aa54
map_gravel,砂利,material,terrain/tiles_64/map_gravel.png,terrain/source_crops/map_gravel.png,05-1000263627.png,10,5,"[466, 1353, 561, 1472]","[95, 119]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.6736842105263158, 0.5378151260504201]",supplement,False,False,c616a12b1aeb1f973c18c2a16d691a626ad0eb5efb064fa1e26a6453c1612c82,9ee142f332e07e0469426845c010fdc3aac7c28d9300c4405f9af872625183f8
map_paving_weeds,舗石・雑草,material,terrain/tiles_64/map_paving_weeds.png,terrain/source_crops/map_paving_weeds.png,05-1000263627.png,10,6,"[577, 1353, 672, 1473]","[95, 120]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.6736842105263158, 0.5333333333333333]",supplement,False,False,2615d4ef5bff10ebb5ec5d82b32ebda335d4e79498247a643dbd0cf4bb8810a1,f6cea718e22a0a9413bb2388842c7baedfdb8eb591f42294853c943fdb1d7ebb
map_sand,砂地,material,terrain/tiles_64/map_sand.png,terrain/source_crops/map_sand.png,05-1000263627.png,10,9,"[908, 1353, 1003, 1473]","[95, 120]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.6736842105263158, 0.5333333333333333]",supplement,False,False,80043cfc2e74926fe4e8300769c2582b6c3b60881329e3ca704b921305be65a1,ec4f91413fd9eec16ff0b95b0640692146a7240540dba0e9c609c73d638c5d4b
map_soil_dark,土地・濃色,material,terrain/tiles_64/map_soil_dark.png,terrain/source_crops/map_soil_dark.png,05-1000263627.png,10,10,"[1019, 1353, 1115, 1472]","[96, 119]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.6666666666666666, 0.5378151260504201]",supplement,False,False,a57cf5217dfd9edff2adc33b66fcae1b0a1e92ce51e7d7dbc4b363a4c1241cbe,0e84831f04023b67798c3054d94925d003335d976e00d58fef21b9fab8d3a277
map_wood_dark,木床・濃色,material,terrain/tiles_64/map_wood_dark.png,terrain/source_crops/map_wood_dark.png,05-1000263627.png,10,7,"[687, 1353, 782, 1473]","[95, 120]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.6736842105263158, 0.5333333333333333]",supplement,False,False,b5a5f7e0e0980072ca7ad29974140f7a8a01f4e1be8e85afb3257fc37d7a2fd0,a43f1e9117f3797f61f0e2ff510ade9c6ea367708ba447f4ceeae9d41b6f6de8
map_wood_light,木床・明色,material,terrain/tiles_64/map_wood_light.png,terrain/source_crops/map_wood_light.png,05-1000263627.png,10,8,"[798, 1353, 892, 1472]","[94, 119]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.6808510638297872, 0.5378151260504201]",supplement,False,False,d3f6115ba7abcf943ca0a9e84e0cfcc544b67e0ed93561ed0a80ca37e34cf12d,82841ecc705e3c1bdcb3191f860d35b161046ea4629343b4ae7d05da15a1ffaf
map_sidewalk_cross,歩道・十字,path,terrain/tiles_64/map_sidewalk_cross.png,terrain/source_crops/map_sidewalk_cross.png,10-1000263629.png,7,5,"[626, 1189, 759, 1379]","[133, 190]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48120300751879697, 0.3368421052631579]",supplement,False,False,6141d445a7d82ef42a063379cc8eddda3ff9da289d3fc33995e8531bda9d33e8,7c1d0024a3985c49d7b9ae437a4b0ea21d91b435eeca93cbf732aa817c5dd67d
map_sidewalk_es,歩道・東南カーブ,path,terrain/tiles_64/map_sidewalk_es.png,terrain/source_crops/map_sidewalk_es.png,10-1000263629.png,6,8,"[1082, 966, 1215, 1168]","[133, 202]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48120300751879697, 0.31683168316831684]",supplement,False,False,3f41c46ff91bc0b96ceedbc767016f196276e9ef7c1d3f43b2fdc7d888336c6d,15f19446c575de99971f1849c81d80b78645e37a991db578e27ef7b0531a7c67
map_sidewalk_ew,歩道・東西,path,terrain/tiles_64/map_sidewalk_ew.png,terrain/source_crops/map_sidewalk_ew.png,10-1000263629.png,7,3,"[321, 1189, 454, 1379]","[133, 190]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48120300751879697, 0.3368421052631579]",supplement,False,False,7f8c69e7136ea61602013d8c0e82a8d448522fe1c5bac5307d59aaf2f87958ac,36b824b788f1ff49f16e9ac2ffa10b4aff3aafa7f4354982731082757aca7afc
map_sidewalk_ne,歩道・北東カーブ,path,terrain/tiles_64/map_sidewalk_ne.png,terrain/source_crops/map_sidewalk_ne.png,10-1000263629.png,6,10,"[1382, 966, 1514, 1168]","[132, 202]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48484848484848486, 0.31683168316831684]",supplement,False,False,355d4293044b3c85a356fd58f4a7e53a83be258cf176b4c60e4398c954749c0c,602ee480a7664634e849115cdf5aec7090d9f73d025c88ba8e1f693ca085ac33
map_sidewalk_ns,歩道・南北,path,terrain/tiles_64/map_sidewalk_ns.png,terrain/source_crops/map_sidewalk_ns.png,10-1000263629.png,6,6,"[777, 966, 910, 1168]","[133, 202]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48120300751879697, 0.31683168316831684]",supplement,False,False,d81554b87d81b2081fb7cbe0d1a2b2885e47f09617531199980f8c143770a56a,de62696fce750fe698cb3813ffaed8c8809964a5b21ec7a0b880f4d02055494d
map_sidewalk_nw,歩道・北西カーブ,path,terrain/tiles_64/map_sidewalk_nw.png,terrain/source_crops/map_sidewalk_nw.png,10-1000263629.png,6,9,"[1234, 966, 1364, 1168]","[130, 202]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.49230769230769234, 0.31683168316831684]",supplement,False,False,24dd8c9fe358cdfbc19e3d7ecaa79d4a3038e0fcda9a1845c7101a648b2e6bc3,df2440a91e1e0a00c1639f55efd334889b26aa043d1106e49d3fb07ae0c57d0b
map_bench_flowers,広場・ベンチと花壇,plaza,terrain/tiles_64/map_bench_flowers.png,terrain/source_crops/map_bench_flowers.png,06-1000263628.png,9,3,"[322, 1296, 455, 1431]","[133, 135]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48120300751879697, 0.4740740740740741]",supplement,False,False,d52b6dba1ae3e50bad1ba8bfef028af9c0e3a5e71bb582f18ac5f9b4bf6d4116,9c947c9ffc9f3dfb4a925a39c4389a9fbbf70212d9c440667415a725fc775679
map_flowerbed,広場・花壇,plaza,terrain/tiles_64/map_flowerbed.png,terrain/source_crops/map_flowerbed.png,06-1000263628.png,9,1,"[20, 1296, 152, 1431]","[132, 135]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48484848484848486, 0.4740740740740741]",supplement,False,False,d32187a9a6d4b98dab98733345ca47b438c9c0de2900108ae1ed86fbda10938d,b505023d6d7684576c914cc83be029c62b63e5aba49cdc55af53e7ef3f4e8324
map_hedges,広場・生け垣,plaza,terrain/tiles_64/map_hedges.png,terrain/source_crops/map_hedges.png,06-1000263628.png,9,6,"[777, 1296, 909, 1431]","[132, 135]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48484848484848486, 0.4740740740740741]",supplement,False,False,c7bfb50139c3c40e17c856b3dfaf801d653b6738c29c036234c9ce77daf790f0,6f009891feaa54813efa8601adad3a05e9011140cf70a76ac558f261d803ca32
map_lamps,広場・街灯,plaza,terrain/tiles_64/map_lamps.png,terrain/source_crops/map_lamps.png,06-1000263628.png,9,5,"[626, 1296, 758, 1431]","[132, 135]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48484848484848486, 0.4740740740740741]",supplement,False,False,026f51d40cb4031c7f457821975029d32c788f919569379ec8d8221825fb183c,c75fa84f55ced4df1e99b0d421ad632ffa88cc2fd69415e80e5d9163df60f45f
map_paving_edge,舗道・土との境界,plaza,terrain/tiles_64/map_paving_edge.png,terrain/source_crops/map_paving_edge.png,06-1000263628.png,9,8,"[1081, 1296, 1213, 1431]","[132, 135]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48484848484848486, 0.4740740740740741]",supplement,False,False,2917c587204d2afa46b68069c51f356cef810583a683c0813de111de5afcc49f,f67ba3ece44cd879c1650dfd2499ce0f78af1f8b050a86e7cd073a69de0ca94d
map_paving_t,舗道・丁字,plaza,terrain/tiles_64/map_paving_t.png,terrain/source_crops/map_paving_t.png,06-1000263628.png,9,7,"[929, 1296, 1061, 1431]","[132, 135]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48484848484848486, 0.4740740740740741]",supplement,False,False,b016de585397cb5110fc626b975f4fb4103ec1a4e06cc239370737960bfbe567,fc8bdc5c0c4ef2407c2014dce6c259d4694849d6a3eb1fab9e01e69fcf846e6f
map_tree_planter,広場・植樹桝,plaza,terrain/tiles_64/map_tree_planter.png,terrain/source_crops/map_tree_planter.png,06-1000263628.png,9,4,"[475, 1296, 606, 1431]","[131, 135]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48854961832061067, 0.4740740740740741]",supplement,False,False,5394cd2771efd0a2c621f55db9ae9fab3469a92c694cd10e4e6c3b98d7d25cfe,32d6d941bff8cdff19d1e7ff7918d6599e553ad8e3c4b22609401e06a15c5b4b
map_rail_branch_e,線路・東分岐,rail,terrain/tiles_64/map_rail_branch_e.png,terrain/source_crops/map_rail_branch_e.png,03-1000263625.png,4,5,"[884, 735, 1047, 879]","[163, 144]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.39263803680981596, 0.4444444444444444]",core,False,False,bcda413d12e4b18550bb18928045c531d23403ff8379d63e894740c6e73995e9,4949117bd54113b50cbd9485d6d7721bb4914385c6fc2150ce850bcaaee8f4e9
map_rail_branch_w,線路・西分岐,rail,terrain/tiles_64/map_rail_branch_w.png,terrain/source_crops/map_rail_branch_w.png,03-1000263625.png,4,6,"[1096, 735, 1261, 878]","[165, 143]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.3878787878787879, 0.44755244755244755]",core,False,False,60d6ab9112d2b2ecc0061ae3ece122742a64759247c321c8bafacf6ea01984ed,85e87c9375ace6e6bd3704cd1df549155b0b7cddfc57bd879981870df9a70c36
map_rail_cross,線路・平面交差,rail,terrain/tiles_64/map_rail_cross.png,terrain/source_crops/map_rail_cross.png,03-1000263625.png,3,5,"[884, 535, 1044, 687]","[160, 152]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.4, 0.42105263157894735]",core,False,False,3cd8bca90cf03202272c038ebfe4c62bf6e110bcfeea98f79ee1ba5ecce57414,5598ea55abdbe927e5cdc7a5671aec83a79c0084784870b81ecbc0de67c5e2e3
map_rail_ew,線路・東西,rail,terrain/tiles_64/map_rail_ew.png,terrain/source_crops/map_rail_ew.png,03-1000263625.png,3,2,"[259, 537, 420, 689]","[161, 152]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.39751552795031053, 0.42105263157894735]",core,False,False,33cec6e0429a70418fc5adf5f58ee61214dabdfc6469259fa61730c80813fd65,589a8aac2dbad34b091b367f9263b7f20e36cbc5d3eec291c34cd553ba2ff9c6
map_rail_ne,線路・北東カーブ,rail,terrain/tiles_64/map_rail_ne.png,terrain/source_crops/map_rail_ne.png,03-1000263625.png,3,4,"[678, 536, 836, 687]","[158, 151]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.4050632911392405, 0.423841059602649]",core,False,False,a67f9d0051a2d6c1247b3caefece79454c39849cb5c47a79e2bc19598cc022f4,c74b4e9b12cc04ab84aa62d46386937d92cc2aa99c0116364a00e821534cf46b
map_rail_ns,線路・南北,rail,terrain/tiles_64/map_rail_ns.png,terrain/source_crops/map_rail_ns.png,03-1000263625.png,3,1,"[58, 536, 214, 689]","[156, 153]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.41025641025641024, 0.41830065359477125]",core,False,False,37120da5a4bf4145e8153d6d05a2b2141ffb6d89952aec5d3917b666ccb3cdd6,32cbc5e5783d59ecd7e70c9b844c267e585c05ec34205089af2d4252cddf3333
map_rail_nw,線路・北西カーブ,rail,terrain/tiles_64/map_rail_nw.png,terrain/source_crops/map_rail_nw.png,03-1000263625.png,3,3,"[469, 536, 628, 689]","[159, 153]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.4025157232704403, 0.41830065359477125]",core,False,False,34654c27bbe75722b7277c8457290c3b82c43a76f652883694ffc0134b2e0b29,df6f6ef9f8b4090fe8d3191e22f64d96e40e75f92bbe5ff799afa1059d01d898
map_rail_overgrown,線路・草に覆われた南北線,rail,terrain/tiles_64/map_rail_overgrown.png,terrain/source_crops/map_rail_overgrown.png,07-1000263633.png,3,7,"[929, 381, 1063, 549]","[134, 168]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.47761194029850745, 0.38095238095238093]",supplement,False,False,7e58a204755c6763ba1c0063f6d50de8e2cfcb060ff7a73f2293cee2b12de880,8538173ee9920cb927e4e2096cb9ad780020bb6eb2dc0f75624ff8c784be96f3
map_rail_platform_e,線路・東側ホーム,rail,terrain/tiles_64/map_rail_platform_e.png,terrain/source_crops/map_rail_platform_e.png,07-1000263633.png,4,7,"[928, 570, 1062, 745]","[134, 175]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.47761194029850745, 0.3657142857142857]",supplement,False,False,8f0416c7b8f65a92b11fea31b9dcd4fea63edb930ccf6fa211ee8c4cbbf31e8f,ddaad86466dfe52a94401ebf676a224f79ee85a5c88d405daa18b1b25b0ed81c
map_rail_platform_w,線路・西側ホーム,rail,terrain/tiles_64/map_rail_platform_w.png,terrain/source_crops/map_rail_platform_w.png,07-1000263633.png,4,8,"[1081, 570, 1214, 745]","[133, 175]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48120300751879697, 0.3657142857142857]",supplement,False,False,073f7d2fc04a0b2595dc454131694e8cafc38dfff5ef7745447c4b2d2c2e8fa4,77616ee54ac03a6d3615d44c201fbb64d7c5988e8e3bf2534f7f64304e3d1469
map_rail_stop_e,線路・東側接続の車止め,rail,terrain/tiles_64/map_rail_stop_e.png,terrain/source_crops/map_rail_stop_e.png,07-1000263633.png,3,1,"[20, 382, 154, 549]","[134, 167]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.47761194029850745, 0.38323353293413176]",supplement,False,False,06874cb7a639777ffa5ff0ba06e13cf6d1ac4c6951252d2c1addd98bc85ab626,3b90d77a73f8f49a0a500b315f325b9018467e379ebb97dad57d625d7de5e816
map_rail_stop_s,線路・南側接続の車止め,rail,terrain/tiles_64/map_rail_stop_s.png,terrain/source_crops/map_rail_stop_s.png,03-1000263625.png,4,1,"[55, 735, 214, 879]","[159, 144]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.4025157232704403, 0.4444444444444444]",core,False,False,fcafbffd9323d00da30c7af0d9909a26d05349f7da45fe41ad737103d5189e44,a6154ecde6b70434a285630d0aaba52803090b1093e6848fe04e1fd587bcd5b4
map_rail_stop_w,線路・西側接続の車止め,rail,terrain/tiles_64/map_rail_stop_w.png,terrain/source_crops/map_rail_stop_w.png,03-1000263625.png,4,2,"[258, 738, 420, 881]","[162, 143]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.3950617283950617, 0.44755244755244755]",core,False,False,8aa89a6ea15eacdfbba6186fd18aee9eaa3b68c3ca5c43ea14737734ace70dbe,8c19556baf587cedb1610f5e8567bff2398632ab3fae5ac58e8c66e8bbe1dfed
map_rail_y,線路・Y字分岐,rail,terrain/tiles_64/map_rail_y.png,terrain/source_crops/map_rail_y.png,03-1000263625.png,4,4,"[677, 734, 837, 879]","[160, 145]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.4, 0.4413793103448276]",core,False,False,5a073f698b46e90289f871a346eb42560308edcc61ed3a8a77e2eee016d6c9b8,d882874f59c4e5ac4ee8c6eb913f4ab59c5cce5293c7c71fbd89883d24c2fcc9
map_crossing_basic,踏切・基本,road,terrain/tiles_64/map_crossing_basic.png,terrain/source_crops/map_crossing_basic.png,03-1000263625.png,2,5,"[881, 302, 1049, 468]","[168, 166]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.38095238095238093, 0.3855421686746988]",core,False,False,40606df794ac25275666a4d11aac157e7b1d2ac5b3ad00202323b02c6e198a13,d8f5175dfb2d9fb026639e8d37264d6c7ac3d1c62ebbcfa4f96a34a300acb21a
map_crossing_closed,踏切・遮断機あり,road,terrain/tiles_64/map_crossing_closed.png,terrain/source_crops/map_crossing_closed.png,06-1000263628.png,4,4,"[474, 519, 606, 659]","[132, 140]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48484848484848486, 0.45714285714285713]",supplement,False,False,8bac29d1ac5d926b374fd74b93f35e9279d485137731a2dd2a67acb9fd781457,b2371d1b36b8bc0d6fa36239f8d7c0276d160643ce61d18f7efe396c2665f5da
map_parking_bay_ew,駐車区画・横向き白線,road,terrain/tiles_64/map_parking_bay_ew.png,terrain/source_crops/map_parking_bay_ew.png,06-1000263628.png,6,7,"[929, 836, 1062, 967]","[133, 131]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48120300751879697, 0.48854961832061067]",supplement,False,False,2a9e0870518b7f932c3d8a1cc29211227560bfc52534af6107d0bd822fa76f31,477cbdf7236f613ccf94140d469eb5d6a4cae486af06f4763a7ca24a5918ec9d
map_parking_bay_s,駐車区画・縦向き白線,road,terrain/tiles_64/map_parking_bay_s.png,terrain/source_crops/map_parking_bay_s.png,06-1000263628.png,6,4,"[474, 836, 607, 967]","[133, 131]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48120300751879697, 0.48854961832061067]",supplement,False,False,935d7640307e5a399f00eae8324c3f1163914d36aab315b3bdac07dbbafc2dfe,365418d076631abee9761adb13ac8fb0b07cca37e127aa8ad2882539d01c5cac
map_road_cross,道路・十字路,road,terrain/tiles_64/map_road_cross.png,terrain/source_crops/map_road_cross.png,03-1000263625.png,1,5,"[881, 92, 1049, 257]","[168, 165]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.38095238095238093, 0.3878787878787879]",core,False,False,1a8f593ca75d2ea8142e6651e3b0fb5dc70e530862c9d94bb4c3b14fac5be8e3,9a92b0057f2970f1ee82af87c433d3ff56d8f7b19d572a2c2748cadaad9cd66a
map_road_cross_zebra,道路・横断歩道付き十字路,road,terrain/tiles_64/map_road_cross_zebra.png,terrain/source_crops/map_road_cross_zebra.png,06-1000263628.png,5,6,"[777, 678, 909, 817]","[132, 139]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.48484848484848486, 0.460431654676259]",supplement,False,False,1f417a03b5fbc265cba50009509210445480c0dc317d98659eb61299be267650,885bed7d5be498de2325bcc9a17353bad359ef6dd8149dd3086635eef573ad18
map_road_end_s,道路・南側接続の行き止まり,road,terrain/tiles_64/map_road_end_s.png,terrain/source_crops/map_road_end_s.png,03-1000263625.png,2,1,"[54, 303, 219, 469]","[165, 166]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.3878787878787879, 0.3855421686746988]",core,False,False,0409807caea45c0fb3687f9ddfca9f149a7520c40adc2190cdfd9fa5b71de92c,b943fca59ca442fcfd4f1ad1c295043a9aae4bb7b41146c4c60c6f29bc15141c
