staff_no,staff_id,sheet,row_strip,down_A,down_B,left_A,left_B,right_A,right_B,up_A,up_B
11,staff_011,staff_sheet_2_of_4.png,row_strips/staff_011_row.png,sprites/staff_011_down_A.png,sprites/staff_011_down_B.png,sprites/staff_011_left_A.png,sprites/staff_011_left_B.png,sprites/staff_011_right_A.png,sprites/staff_011_right_B.png,sprites/staff_011_up_A.png,sprites/staff_011_up_B.png
12,staff_012,staff_sheet_2_of_4.png,row_strips/staff_012_row.png,sprites/staff_012_down_A.png,sprites/staff_012_down_B.png,sprites/staff_012_left_A.png,sprites/staff_012_left_B.png,sprites/staff_012_right_A.png,sprites/staff_012_right_B.png,sprites/staff_012_up_A.png,sprites/staff_012_up_B.png
13,staff_013,staff_sheet_2_of_4.png,row_strips/staff_013_row.png,sprites/staff_013_down_A.png,sprites/staff_013_down_B.png,sprites/staff_013_left_A.png,sprites/staff_013_left_B.png,sprites/staff_013_right_A.png,sprites/staff_013_right_B.png,sprites/staff_013_up_A.png,sprites/staff_013_up_B.png
14,staff_014,staff_sheet_2_of_4.png,row_strips/staff_014_row.png,sprites/staff_014_down_A.png,sprites/staff_014_down_B.png,sprites/staff_014_left_A.png,sprites/staff_014_left_B.png,sprites/staff_014_right_A.png,sprites/staff_014_right_B.png,sprites/staff_014_up_A.png,sprites/staff_014_up_B.png
15,staff_015,staff_sheet_2_of_4.png,row_strips/staff_015_row.png,sprites/staff_015_down_A.png,sprites/staff_015_down_B.png,sprites/staff_015_left_A.png,sprites/staff_015_left_B.png,sprites/staff_015_right_A.png,sprites/staff_015_right_B.png,sprites/staff_015_up_A.png,sprites/staff_015_up_B.png
16,staff_016,staff_sheet_2_of_4.png,row_strips/staff_016_row.png,sprites/staff_016_down_A.png,sprites/staff_016_down_B.png,sprites/staff_016_left_A.png,sprites/staff_016_left_B.png,sprites/staff_016_right_A.png,sprites/staff_016_right_B.png,sprites/staff_016_up_A.png,sprites/staff_016_up_B.png
17,staff_017,staff_sheet_2_of_4.png,row_strips/staff_017_row.png,sprites/staff_017_down_A.png,sprites/staff_017_down_B.png,sprites/staff_017_left_A.png,sprites/staff_017_left_B.png,sprites/staff_017_right_A.png,sprites/staff_017_right_B.png,sprites/staff_017_up_A.png,sprites/staff_017_up_B.png
18,staff_018,staff_sheet_2_of_4.png,row_strips/staff_018_row.png,sprites/staff_018_down_A.png,sprites/staff_018_down_B.png,sprites/staff_018_left_A.png,sprites/staff_018_left_B.png,sprites/staff_018_right_A.png,sprites/staff_018_right_B.png,sprites/staff_018_up_A.png,sprites/staff_018_up_B.png
19,staff_019,staff_sheet_3_of_4.png,row_strips/staff_019_row.png,sprites/staff_019_down_A.png,sprites/staff_019_down_B.png,sprites/staff_019_left_A.png,sprites/staff_019_left_B.png,sprites/staff_019_right_A.png,sprites/staff_019_right_B.png,sprites/staff_019_up_A.png,sprites/staff_019_up_B.png
20,staff_020,staff_sheet_3_of_4.png,row_strips/staff_020_row.png,sprites/staff_020_down_A.png,sprites/staff_020_down_B.png,sprites/staff_020_left_A.png,sprites/staff_020_left_B.png,sprites/staff_020_right_A.png,sprites/staff_020_right_B.png,sprites/staff_020_up_A.png,sprites/staff_020_up_B.png
21,staff_021,staff_sheet_3_of_4.png,row_strips/staff_021_row.png,sprites/staff_021_down_A.png,sprites/staff_021_down_B.png,sprites/staff_021_left_A.png,sprites/staff_021_left_B.png,sprites/staff_021_right_A.png,sprites/staff_021_right_B.png,sprites/staff_021_up_A.png,sprites/staff_021_up_B.png
22,staff_022,staff_sheet_3_of_4.png,row_strips/staff_022_row.png,sprites/staff_022_down_A.png,sprites/staff_022_down_B.png,sprites/staff_022_left_A.png,sprites/staff_022_left_B.png,sprites/staff_022_right_A.png,sprites/staff_022_right_B.png,sprites/staff_022_up_A.png,sprites/staff_022_up_B.png
23,staff_023,staff_sheet_3_of_4.png,row_strips/staff_023_row.png,sprites/staff_023_down_A.png,sprites/staff_023_down_B.png,sprites/staff_023_left_A.png,sprites/staff_023_left_B.png,sprites/staff_023_right_A.png,sprites/staff_023_right_B.png,sprites/staff_023_up_A.png,sprites/staff_023_up_B.png
24,staff_024,staff_sheet_3_of_4.png,row_strips/staff_024_row.png,sprites/staff_024_down_A.png,sprites/staff_024_down_B.png,sprites/staff_024_left_A.png,sprites/staff_024_left_B.png,sprites/staff_024_right_A.png,sprites/staff_024_right_B.png,sprites/staff_024_up_A.png,sprites/staff_024_up_B.png
25,staff_025,staff_sheet_3_of_4.png,row_strips/staff_025_row.png,sprites/staff_025_down_A.png,sprites/staff_025_down_B.png,sprites/staff_025_left_A.png,sprites/staff_025_left_B.png,sprites/staff_025_right_A.png,sprites/staff_025_right_B.png,sprites/staff_025_up_A.png,sprites/staff_025_up_B.png
26,staff_026,staff_sheet_3_of_4.png,row_strips/staff_026_row.png,sprites/staff_026_down_A.png,sprites/staff_026_down_B.png,sprites/staff_026_left_A.png,sprites/staff_026_left_B.png,sprites/staff_026_right_A.png,sprites/staff_026_right_B.png,sprites/staff_026_up_A.png,sprites/staff_026_up_B.png
27,staff_027,staff_sheet_3_of_4.png,row_strips/staff_027_row.png,sprites/staff_027_down_A.png,sprites/staff_027_down_B.png,sprites/staff_027_left_A.png,sprites/staff_027_left_B.png,sprites/staff_027_right_A.png,sprites/staff_027_right_B.png,sprites/staff_027_up_A.png,sprites/staff_027_up_B.png
28,staff_028,staff_sheet_4_of_4.png,row_strips/staff_028_row.png,sprites/staff_028_down_A.png,sprites/staff_028_down_B.png,sprites/staff_028_left_A.png,sprites/staff_028_left_B.png,sprites/staff_028_right_A.png,sprites/staff_028_right_B.png,sprites/staff_028_up_A.png,sprites/staff_028_up_B.png
29,staff_029,staff_sheet_4_of_4.png,row_strips/staff_029_row.png,sprites/staff_029_down_A.png,sprites/staff_029_down_B.png,sprites/staff_029_left_A.png,sprites/staff_029_left_B.png,sprites/staff_029_right_A.png,sprites/staff_029_right_B.png,sprites/staff_029_up_A.png,sprites/staff_029_up_B.png
30,staff_030,staff_sheet_4_of_4.png,row_strips/staff_030_row.png,sprites/staff_030_down_A.png,sprites/staff_030_down_B.png,sprites/staff_030_left_A.png,sprites/staff_030_left_B.png,sprites/staff_030_right_A.png,sprites/staff_030_right_B.png,sprites/staff_030_up_A.png,sprites/staff_030_up_B.png
31,staff_031,staff_sheet_4_of_4.png,row_strips/staff_031_row.png,sprites/staff_031_down_A.png,sprites/staff_031_down_B.png,sprites/staff_031_left_A.png,sprites/staff_031_left_B.png,sprites/staff_031_right_A.png,sprites/staff_031_right_B.png,sprites/staff_031_up_A.png,sprites/staff_031_up_B.png
32,staff_032,staff_sheet_4_of_4.png,row_strips/staff_032_row.png,sprites/staff_032_down_A.png,sprites/staff_032_down_B.png,sprites/staff_032_left_A.png,sprites/staff_032_left_B.png,sprites/staff_032_right_A.png,sprites/staff_032_right_B.png,sprites/staff_032_up_A.png,sprites/staff_032_up_B.png
33,staff_033,staff_sheet_4_of_4.png,row_strips/staff_033_row.png,sprites/staff_033_down_A.png,sprites/staff_033_down_B.png,sprites/staff_033_left_A.png,sprites/staff_033_left_B.png,sprites/staff_033_right_A.png,sprites/staff_033_right_B.png,sprites/staff_033_up_A.png,sprites/staff_033_up_B.png
34,staff_034,staff_sheet_4_of_4.png,row_strips/staff_034_row.png,sprites/staff_034_down_A.png,sprites/staff_034_down_B.png,sprites/staff_034_left_A.png,sprites/staff_034_left_B.png,sprites/staff_034_right_A.png,sprites/staff_034_right_B.png,sprites/staff_034_up_A.png,sprites/staff_034_up_B.png
35,staff_035,staff_sheet_4_of_4.png,row_strips/staff_035_row.png,sprites/staff_035_down_A.png,sprites/staff_035_down_B.png,sprites/staff_035_left_A.png,sprites/staff_035_left_B.png,sprites/staff_035_right_A.png,sprites/staff_035_right_B.png,sprites/staff_035_up_A.png,sprites/staff_035_up_B.png
