id,category_id,name_ja,stock_level,file,native_file,source_sheet,source_crop_xyxy,source_cell_size,frame_size_px,tile_footprint,anchor,scale_xy,background_removed,view
bento_medium,bento,弁当類,medium,sprites/bento_medium.png,native/bento_medium.png,source_sheets/chilled_fresh_1x1.png,"[594, 595, 770, 755]","[176, 160]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.2375]",True,preserved_source_illustration_not_certified_90deg
bento_low,bento,弁当類,low,sprites/bento_low.png,native/bento_low.png,source_sheets/chilled_fresh_1x1.png,"[866, 595, 1041, 755]","[175, 160]","[48, 48]","[1, 1]",top_left,"[0.24, 0.2375]",True,preserved_source_illustration_not_certified_90deg
bread_high,bread,パン類,high,sprites/bread_high.png,native/bread_high.png,source_sheets/ambient_service_1x1.png,"[174, 214, 275, 327]","[101, 113]","[48, 48]","[1, 1]",top_left,"[0.37623762376237624, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
bread_medium,bread,パン類,medium,sprites/bread_medium.png,native/bread_medium.png,source_sheets/ambient_service_1x1.png,"[301, 214, 404, 327]","[103, 113]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
bread_low,bread,パン類,low,sprites/bread_low.png,native/bread_low.png,source_sheets/ambient_service_1x1.png,"[431, 214, 534, 327]","[103, 113]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
instant_food_high,instant_food,インスタント類,high,sprites/instant_food_high.png,native/instant_food_high.png,source_sheets/ambient_service_1x1.png,"[174, 361, 275, 473]","[101, 112]","[48, 48]","[1, 1]",top_left,"[0.37623762376237624, 0.375]",True,preserved_source_illustration_not_certified_90deg
instant_food_medium,instant_food,インスタント類,medium,sprites/instant_food_medium.png,native/instant_food_medium.png,source_sheets/ambient_service_1x1.png,"[301, 361, 404, 473]","[103, 112]","[48, 48]","[1, 1]",top_left,"[0.3786407766990291, 0.375]",True,preserved_source_illustration_not_certified_90deg
instant_food_low,instant_food,インスタント類,low,sprites/instant_food_low.png,native/instant_food_low.png,source_sheets/ambient_service_1x1.png,"[431, 361, 534, 473]","[103, 112]","[48, 48]","[1, 1]",top_left,"[0.3786407766990291, 0.375]",True,preserved_source_illustration_not_certified_90deg
snacks_high,snacks,菓子類,high,sprites/snacks_high.png,native/snacks_high.png,source_sheets/ambient_service_1x1.png,"[174, 507, 275, 621]","[101, 114]","[48, 48]","[1, 1]",top_left,"[0.36633663366336633, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
snacks_medium,snacks,菓子類,medium,sprites/snacks_medium.png,native/snacks_medium.png,source_sheets/ambient_service_1x1.png,"[301, 507, 404, 620]","[103, 113]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
snacks_low,snacks,菓子類,low,sprites/snacks_low.png,native/snacks_low.png,source_sheets/ambient_service_1x1.png,"[431, 507, 534, 620]","[103, 113]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
books_high,books,本類,high,sprites/books_high.png,native/books_high.png,source_sheets/ambient_service_1x1.png,"[174, 655, 275, 769]","[101, 114]","[48, 48]","[1, 1]",top_left,"[0.36633663366336633, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
books_medium,books,本類,medium,sprites/books_medium.png,native/books_medium.png,source_sheets/ambient_service_1x1.png,"[301, 655, 404, 769]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
books_low,books,本類,low,sprites/books_low.png,native/books_low.png,source_sheets/ambient_service_1x1.png,"[431, 655, 534, 769]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
tobacco_high,tobacco,たばこ,high,sprites/tobacco_high.png,native/tobacco_high.png,source_sheets/ambient_service_1x1.png,"[174, 802, 275, 917]","[101, 115]","[48, 48]","[1, 1]",top_left,"[0.36633663366336633, 0.3652173913043478]",True,preserved_source_illustration_not_certified_90deg
tobacco_medium,tobacco,たばこ,medium,sprites/tobacco_medium.png,native/tobacco_medium.png,source_sheets/ambient_service_1x1.png,"[301, 802, 404, 916]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
tobacco_low,tobacco,たばこ,low,sprites/tobacco_low.png,native/tobacco_low.png,source_sheets/ambient_service_1x1.png,"[431, 802, 534, 917]","[103, 115]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3652173913043478]",True,preserved_source_illustration_not_certified_90deg
ice_cream_high,ice_cream,アイスクリーム,high,sprites/ice_cream_high.png,native/ice_cream_high.png,source_sheets/frozen_hot_1x1.png,"[301, 448, 495, 635]","[194, 187]","[48, 48]","[1, 1]",top_left,"[0.21649484536082475, 0.21390374331550802]",True,preserved_source_illustration_not_certified_90deg
ice_cream_medium,ice_cream,アイスクリーム,medium,sprites/ice_cream_medium.png,native/ice_cream_medium.png,source_sheets/frozen_hot_1x1.png,"[572, 448, 767, 635]","[195, 187]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21390374331550802]",True,preserved_source_illustration_not_certified_90deg
ice_cream_low,ice_cream,アイスクリーム,low,sprites/ice_cream_low.png,native/ice_cream_low.png,source_sheets/frozen_hot_1x1.png,"[857, 448, 1052, 635]","[195, 187]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21390374331550802]",True,preserved_source_illustration_not_certified_90deg
stationery_high,stationery,文房具,high,sprites/stationery_high.png,native/stationery_high.png,source_sheets/ambient_service_1x1.png,"[174, 950, 275, 1064]","[101, 114]","[48, 48]","[1, 1]",top_left,"[0.36633663366336633, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
stationery_medium,stationery,文房具,medium,sprites/stationery_medium.png,native/stationery_medium.png,source_sheets/ambient_service_1x1.png,"[301, 950, 404, 1064]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
stationery_low,stationery,文房具,low,sprites/stationery_low.png,native/stationery_low.png,source_sheets/ambient_service_1x1.png,"[431, 950, 534, 1064]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
retort_food_high,retort_food,レトルト類,high,sprites/retort_food_high.png,native/retort_food_high.png,source_sheets/ambient_service_1x1.png,"[174, 1099, 275, 1213]","[101, 114]","[48, 48]","[1, 1]",top_left,"[0.36633663366336633, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
retort_food_medium,retort_food,レトルト類,medium,sprites/retort_food_medium.png,native/retort_food_medium.png,source_sheets/ambient_service_1x1.png,"[301, 1099, 404, 1213]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
retort_food_low,retort_food,レトルト類,low,sprites/retort_food_low.png,native/retort_food_low.png,source_sheets/ambient_service_1x1.png,"[431, 1099, 534, 1213]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
electronics_high,electronics,電機製品類,high,sprites/electronics_high.png,native/electronics_high.png,source_sheets/ambient_service_1x1.png,"[725, 214, 827, 327]","[102, 113]","[48, 48]","[1, 1]",top_left,"[0.37254901960784315, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
electronics_medium,electronics,電機製品類,medium,sprites/electronics_medium.png,native/electronics_medium.png,source_sheets/ambient_service_1x1.png,"[856, 214, 960, 327]","[104, 113]","[48, 48]","[1, 1]",top_left,"[0.375, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
electronics_low,electronics,電機製品類,low,sprites/electronics_low.png,native/electronics_low.png,source_sheets/ambient_service_1x1.png,"[987, 214, 1090, 327]","[103, 113]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
seasoning_high,seasoning,調味料類,high,sprites/seasoning_high.png,native/seasoning_high.png,source_sheets/ambient_service_1x1.png,"[725, 361, 827, 473]","[102, 112]","[48, 48]","[1, 1]",top_left,"[0.37254901960784315, 0.375]",True,preserved_source_illustration_not_certified_90deg
seasoning_medium,seasoning,調味料類,medium,sprites/seasoning_medium.png,native/seasoning_medium.png,source_sheets/ambient_service_1x1.png,"[856, 361, 959, 473]","[103, 112]","[48, 48]","[1, 1]",top_left,"[0.3786407766990291, 0.375]",True,preserved_source_illustration_not_certified_90deg
seasoning_low,seasoning,調味料類,low,sprites/seasoning_low.png,native/seasoning_low.png,source_sheets/ambient_service_1x1.png,"[987, 361, 1090, 473]","[103, 112]","[48, 48]","[1, 1]",top_left,"[0.3786407766990291, 0.375]",True,preserved_source_illustration_not_certified_90deg
vegetables_high,vegetables,野菜類,high,sprites/vegetables_high.png,native/vegetables_high.png,source_sheets/chilled_fresh_1x1.png,"[327, 779, 503, 937]","[176, 158]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.24050632911392406]",True,preserved_source_illustration_not_certified_90deg
vegetables_medium,vegetables,野菜類,medium,sprites/vegetables_medium.png,native/vegetables_medium.png,source_sheets/chilled_fresh_1x1.png,"[594, 780, 770, 938]","[176, 158]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.24050632911392406]",True,preserved_source_illustration_not_certified_90deg
vegetables_low,vegetables,野菜類,low,sprites/vegetables_low.png,native/vegetables_low.png,source_sheets/chilled_fresh_1x1.png,"[866, 780, 1041, 938]","[175, 158]","[48, 48]","[1, 1]",top_left,"[0.24, 0.24050632911392406]",True,preserved_source_illustration_not_certified_90deg
frozen_food_high,frozen_food,冷凍食品類,high,sprites/frozen_food_high.png,native/frozen_food_high.png,source_sheets/frozen_hot_1x1.png,"[301, 663, 495, 849]","[194, 186]","[48, 48]","[1, 1]",top_left,"[0.21649484536082475, 0.21505376344086022]",True,preserved_source_illustration_not_certified_90deg
frozen_food_medium,frozen_food,冷凍食品類,medium,sprites/frozen_food_medium.png,native/frozen_food_medium.png,source_sheets/frozen_hot_1x1.png,"[572, 663, 767, 849]","[195, 186]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21505376344086022]",True,preserved_source_illustration_not_certified_90deg
frozen_food_low,frozen_food,冷凍食品類,low,sprites/frozen_food_low.png,native/frozen_food_low.png,source_sheets/frozen_hot_1x1.png,"[857, 663, 1052, 849]","[195, 186]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21505376344086022]",True,preserved_source_illustration_not_certified_90deg
fish_high,fish,魚類,high,sprites/fish_high.png,native/fish_high.png,source_sheets/chilled_fresh_1x1.png,"[327, 962, 503, 1122]","[176, 160]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.2375]",True,preserved_source_illustration_not_certified_90deg
fish_medium,fish,魚類,medium,sprites/fish_medium.png,native/fish_medium.png,source_sheets/chilled_fresh_1x1.png,"[594, 963, 770, 1122]","[176, 159]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.2389937106918239]",True,preserved_source_illustration_not_certified_90deg
fish_low,fish,魚類,low,sprites/fish_low.png,native/fish_low.png,source_sheets/chilled_fresh_1x1.png,"[866, 963, 1041, 1122]","[175, 159]","[48, 48]","[1, 1]",top_left,"[0.24, 0.2389937106918239]",True,preserved_source_illustration_not_certified_90deg
oden_high,oden,おでん,high,sprites/oden_high.png,native/oden_high.png,source_sheets/frozen_hot_1x1.png,"[301, 878, 495, 1063]","[194, 185]","[48, 48]","[1, 1]",top_left,"[0.21649484536082475, 0.21621621621621623]",True,preserved_source_illustration_not_certified_90deg
oden_medium,oden,おでん,medium,sprites/oden_medium.png,native/oden_medium.png,source_sheets/frozen_hot_1x1.png,"[572, 878, 767, 1063]","[195, 185]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21621621621621623]",True,preserved_source_illustration_not_certified_90deg
oden_low,oden,おでん,low,sprites/oden_low.png,native/oden_low.png,source_sheets/frozen_hot_1x1.png,"[857, 878, 1052, 1063]","[195, 185]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21621621621621623]",True,preserved_source_illustration_not_certified_90deg
daily_goods_high,daily_goods,日用品,high,sprites/daily_goods_high.png,native/daily_goods_high.png,source_sheets/ambient_service_1x1.png,"[725, 507, 827, 620]","[102, 113]","[48, 48]","[1, 1]",top_left,"[0.37254901960784315, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
daily_goods_medium,daily_goods,日用品,medium,sprites/daily_goods_medium.png,native/daily_goods_medium.png,source_sheets/ambient_service_1x1.png,"[856, 507, 960, 621]","[104, 114]","[48, 48]","[1, 1]",top_left,"[0.36538461538461536, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
daily_goods_low,daily_goods,日用品,low,sprites/daily_goods_low.png,native/daily_goods_low.png,source_sheets/ambient_service_1x1.png,"[987, 507, 1090, 620]","[103, 113]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.37168141592920356]",True,preserved_source_illustration_not_certified_90deg
parcel_delivery_form_high,parcel_delivery_form,宅急便申込書,high,sprites/parcel_delivery_form_high.png,native/parcel_delivery_form_high.png,source_sheets/ambient_service_1x1.png,"[725, 655, 827, 769]","[102, 114]","[48, 48]","[1, 1]",top_left,"[0.37254901960784315, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
parcel_delivery_form_medium,parcel_delivery_form,宅急便申込書,medium,sprites/parcel_delivery_form_medium.png,native/parcel_delivery_form_medium.png,source_sheets/ambient_service_1x1.png,"[856, 655, 959, 769]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
parcel_delivery_form_low,parcel_delivery_form,宅急便申込書,low,sprites/parcel_delivery_form_low.png,native/parcel_delivery_form_low.png,source_sheets/ambient_service_1x1.png,"[987, 655, 1090, 769]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
medicine_high,medicine,薬品,high,sprites/medicine_high.png,native/medicine_high.png,source_sheets/ambient_service_1x1.png,"[725, 802, 827, 917]","[102, 115]","[48, 48]","[1, 1]",top_left,"[0.3627450980392157, 0.3652173913043478]",True,preserved_source_illustration_not_certified_90deg
medicine_medium,medicine,薬品,medium,sprites/medicine_medium.png,native/medicine_medium.png,source_sheets/ambient_service_1x1.png,"[856, 802, 960, 916]","[104, 114]","[48, 48]","[1, 1]",top_left,"[0.36538461538461536, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
medicine_low,medicine,薬品,low,sprites/medicine_low.png,native/medicine_low.png,source_sheets/ambient_service_1x1.png,"[987, 802, 1090, 917]","[103, 115]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3652173913043478]",True,preserved_source_illustration_not_certified_90deg
underwear_high,underwear,下着類,high,sprites/underwear_high.png,native/underwear_high.png,source_sheets/ambient_service_1x1.png,"[725, 950, 827, 1064]","[102, 114]","[48, 48]","[1, 1]",top_left,"[0.37254901960784315, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
underwear_medium,underwear,下着類,medium,sprites/underwear_medium.png,native/underwear_medium.png,source_sheets/ambient_service_1x1.png,"[856, 950, 960, 1064]","[104, 114]","[48, 48]","[1, 1]",top_left,"[0.36538461538461536, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
underwear_low,underwear,下着類,low,sprites/underwear_low.png,native/underwear_low.png,source_sheets/ambient_service_1x1.png,"[987, 950, 1090, 1064]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
event_goods_high,event_goods,イベント商品,high,sprites/event_goods_high.png,native/event_goods_high.png,source_sheets/ambient_service_1x1.png,"[725, 1099, 828, 1213]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
event_goods_medium,event_goods,イベント商品,medium,sprites/event_goods_medium.png,native/event_goods_medium.png,source_sheets/ambient_service_1x1.png,"[856, 1099, 959, 1213]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
event_goods_low,event_goods,イベント商品,low,sprites/event_goods_low.png,native/event_goods_low.png,source_sheets/ambient_service_1x1.png,"[987, 1099, 1090, 1213]","[103, 114]","[48, 48]","[1, 1]",top_left,"[0.36893203883495146, 0.3684210526315789]",True,preserved_source_illustration_not_certified_90deg
chinese_steamed_bun_high,chinese_steamed_bun,中華まん,high,sprites/chinese_steamed_bun_high.png,native/chinese_steamed_bun_high.png,source_sheets/frozen_hot_1x1.png,"[301, 1092, 495, 1277]","[194, 185]","[48, 48]","[1, 1]",top_left,"[0.21649484536082475, 0.21621621621621623]",True,preserved_source_illustration_not_certified_90deg
chinese_steamed_bun_medium,chinese_steamed_bun,中華まん,medium,sprites/chinese_steamed_bun_medium.png,native/chinese_steamed_bun_medium.png,source_sheets/frozen_hot_1x1.png,"[572, 1092, 767, 1277]","[195, 185]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21621621621621623]",True,preserved_source_illustration_not_certified_90deg
chinese_steamed_bun_low,chinese_steamed_bun,中華まん,low,sprites/chinese_steamed_bun_low.png,native/chinese_steamed_bun_low.png,source_sheets/frozen_hot_1x1.png,"[857, 1092, 1052, 1277]","[195, 185]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21621621621621623]",True,preserved_source_illustration_not_certified_90deg
meat_high,meat,肉類,high,sprites/meat_high.png,native/meat_high.png,source_sheets/chilled_fresh_1x1.png,"[327, 1147, 503, 1307]","[176, 160]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.2375]",True,preserved_source_illustration_not_certified_90deg
meat_medium,meat,肉類,medium,sprites/meat_medium.png,native/meat_medium.png,source_sheets/chilled_fresh_1x1.png,"[594, 1147, 770, 1307]","[176, 160]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.2375]",True,preserved_source_illustration_not_certified_90deg
meat_low,meat,肉類,low,sprites/meat_low.png,native/meat_low.png,source_sheets/chilled_fresh_1x1.png,"[866, 1147, 1041, 1307]","[175, 160]","[48, 48]","[1, 1]",top_left,"[0.24, 0.2375]",True,preserved_source_illustration_not_certified_90deg
